Entry	Action	User Name	Updated Date
丁医生	Updated	NhuY	2013-06-15 21:30:46.252-05:00
聖文森及格瑞那丁圣文森特和格林纳丁斯	Deleted	NhuY	2013-06-15 21:47:35.218-05:00
聖文森	Added	NhuY	2013-06-15 21:47:41.788-05:00
格瑞那丁	Added	NhuY	2013-06-15 21:47:52.030-05:00
格林纳丁斯	Added	NhuY	2013-06-15 21:48:00.982-05:00
圣文森特	Added	NhuY	2013-06-15 21:48:10.125-05:00
圣皮埃尔和密克隆群岛	Deleted	NhuY	2013-06-15 21:48:23.707-05:00
圣皮埃尔	Updated	NhuY	2013-06-15 21:48:31.112-05:00
密克隆	Added	NhuY	2013-06-15 21:48:37.558-05:00
特克斯	Added	NhuY	2013-06-15 21:49:05.692-05:00
凱科斯	Added	NhuY	2013-06-15 21:49:12.302-05:00
瓦利斯	Added	NhuY	2013-06-15 21:49:23.293-05:00
富图纳	Added	NhuY	2014-09-17 20:16:35.260-05:00
聖多美	Added	NhuY	2013-06-15 21:49:39.358-05:00
普林西比	Added	NhuY	2014-09-17 20:17:28.537-05:00
圣基茨	Added	NhuY	2013-06-15 21:50:23.360-05:00
黑山	Deleted	NhuY	2013-06-15 21:51:04.369-05:00
鲁昂	Deleted	NhuY	2013-06-15 21:51:17.300-05:00
鲁贝	Deleted	NhuY	2013-06-15 21:51:20.708-05:00
马里	Deleted	NhuY	2013-06-15 21:51:30.726-05:00
马赛	Deleted	NhuY	2013-06-15 21:51:35.036-05:00
韋科	Deleted	NhuY	2013-06-15 21:51:54.799-05:00
韩国	Deleted	NhuY	2013-06-15 21:51:58.106-05:00
雪城	Deleted	NhuY	2013-06-15 21:52:13.940-05:00
雷恩	Deleted	NhuY	2013-06-15 21:52:17.800-05:00
雷諾	Deleted	NhuY	2013-06-15 21:52:21.423-05:00
長灘	Deleted	NhuY	2013-06-15 21:52:36.458-05:00
阿曼	Deleted	NhuY	2013-06-15 21:52:42.357-05:00
都灵	Deleted	NhuY	2013-06-15 21:53:09.864-05:00
里尔	Deleted	NhuY	2013-06-15 21:53:13.807-05:00
里昂	Deleted	NhuY	2013-06-15 21:53:16.775-05:00
越南	Deleted	NhuY	2013-06-15 21:53:35.606-05:00
西敏	Deleted	NhuY	2013-06-15 21:53:50.010-05:00
費城	Deleted	NhuY	2013-06-15 21:54:13.023-05:00
贝宁	Deleted	NhuY	2013-06-15 21:54:17.868-05:00
蘇瀑	Deleted	NhuY	2013-06-15 21:54:33.062-05:00
蘭盛	Deleted	NhuY	2013-06-15 21:54:36.422-05:00
萨丁	Deleted	NhuY	2013-06-15 21:54:47.993-05:00
蓬塞	Deleted	NhuY	2013-06-15 21:54:52.864-05:00
老挝	Updated	NhuY	2013-06-15 21:55:18.499-05:00
苏丹	Deleted	NhuY	2013-06-15 21:55:26.665-05:00
英國	Deleted	NhuY	2013-06-15 21:55:30.707-05:00
荷兰	Deleted	NhuY	2013-06-15 21:55:35.679-05:00
朝鲜	Deleted	NhuY	2013-06-15 21:55:55.493-05:00
林肯	Deleted	NhuY	2013-06-15 21:55:59.370-05:00
桑頓	Deleted	NhuY	2013-06-15 21:56:07.953-05:00
梅斯	Deleted	NhuY	2013-06-15 21:56:11.838-05:00
梅薩	Deleted	NhuY	2013-06-15 21:56:15.598-05:00
橋港	Deleted	NhuY	2013-06-15 21:56:20.606-05:00
歐文	Deleted	NhuY	2013-06-15 21:56:24.822-05:00
段氏	Updated	NhuY	2013-06-15 21:56:33.732-05:00
汤加	Deleted	NhuY	2013-06-15 21:56:41.376-05:00
沃倫	Deleted	NhuY	2013-06-15 21:57:06.753-05:00
法国	Deleted	NhuY	2013-06-15 21:57:15.312-05:00
波城	Deleted	NhuY	2013-06-15 21:57:19.126-05:00
波黑	Deleted	NhuY	2013-06-15 21:57:29.863-05:00
泰国	Deleted	NhuY	2013-06-15 21:57:44.701-05:00
海地	Deleted	NhuY	2013-06-15 21:57:48.859-05:00
爾灣	Deleted	NhuY	2013-06-15 21:57:55.864-05:00
猶他	Deleted	NhuY	2013-06-15 21:57:59.798-05:00
瑙鲁	Deleted	NhuY	2013-06-15 21:58:05.057-05:00
瑞典	Deleted	NhuY	2013-06-15 21:58:08.510-05:00
瑞士	Deleted	NhuY	2013-06-15 21:58:16.352-05:00
登頓	Deleted	NhuY	2013-06-15 21:58:32.575-05:00
第戎	Deleted	NhuY	2013-06-15 21:58:44.967-05:00
米兰	Deleted	NhuY	2013-06-15 21:58:47.489-05:00
紐約	Deleted	NhuY	2013-06-15 21:58:51.906-05:00
綠灣	Deleted	NhuY	2013-06-15 21:58:55.533-05:00
约旦	Deleted	NhuY	2013-06-15 21:59:02.966-05:00
纽埃	Deleted	NhuY	2013-06-15 21:59:22.613-05:00
缅甸	Added	NhuY	2013-06-15 22:00:02.259-05:00
罗马	Deleted	NhuY	2013-06-15 21:59:31.144-05:00
羅利	Deleted	NhuY	2013-06-15 21:59:34.912-05:00
美国	Deleted	NhuY	2013-06-15 21:59:39.560-05:00
不丹	Deleted	NhuY	2013-06-15 22:00:36.874-05:00
丹佛	Deleted	NhuY	2013-06-15 22:00:40.715-05:00
丹麦	Deleted	NhuY	2013-06-15 22:00:43.961-05:00
也门	Deleted	NhuY	2013-06-15 22:00:51.546-05:00
亚眠	Deleted	NhuY	2013-06-15 22:00:55.083-05:00
代頓	Deleted	NhuY	2013-06-15 22:01:19.703-05:00
伊利	Deleted	NhuY	2013-06-15 22:01:23.233-05:00
伊朗	Deleted	NhuY	2013-06-15 22:01:38.810-05:00
兰斯	Deleted	NhuY	2013-06-15 22:01:48.696-05:00
关岛	Deleted	NhuY	2013-06-15 22:01:51.968-05:00
冰岛	Deleted	NhuY	2013-06-15 22:01:57.636-05:00
加来	Deleted	NhuY	2013-06-15 22:02:16.164-05:00
加纳	Deleted	NhuY	2013-06-15 22:02:19.557-05:00
加蓬	Deleted	NhuY	2013-06-15 22:02:22.329-05:00
加蘭	Deleted	NhuY	2013-06-15 22:02:25.717-05:00
勒芒	Deleted	NhuY	2013-06-15 22:02:29.513-05:00
南特	Deleted	NhuY	2013-06-15 22:02:35.094-05:00
